Well,Line,Comments
A1,87,
B1,100,
C1,92,
D1,OSB2,
E1,93,
F1,94,
G1,1*cvi,
H1,99,
A2,63,
B2,98,
C2,98,2nd plant with orange label
D2,70,
E2,67,
F2,99,
G2,66,
H2,100,
A3,65,
B3,72,
C3,12,
D3,11,
E3,10,
F3,12,
G3,9,
H3,8,
A4,7,
B4,6,
C4,5,
D4,13,
E4,2,
F4,1*cvi,
G4,49,
H4,47,
A5,46,
B5,42,
C5,45,
D5,71,
E5,39,
F5,40,
G5,41,
H5,43,
A6,38,
B6,39,
C6,36,
D6,33,
E6,61,
F6,62,
G6,68,
H6,58,
A7,65,
B7,71,
C7,53,
D7,55,
E7,56,
F7,50,
G7,51,
H7,52,
A8,78,NPQ4
B8,80,
C8,85,
D8,74,
E8,73,
F8,76,
G8,83,
H8,81,
A9,89,
B9,90,
C9,91,
D9,16,
E9,17,
F9,18,
G9,21,
H9,23,
A10,25,
B10,57,
C10,28,
D10,29,
E10,30,
F10,31,
G10,,
H10,,
A11,,
B11,,
C11,,
D11,,
E11,,
F11,,
G11,,
H11,,
A12,,
B12,,
C12,,
D12,,
E12,,
F12,,
G12,,
H12,,
