Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
A2	administrator	21/01/2013	4:00 PM	307.93	6.159	3.247	1.90	1.97	50.00	230	3.120	0.095
A2	administrator	21/01/2013	4:00 PM	302.13	6.043	3.191	1.89	1.95	50.00	230	3.096	0.100
A3	administrator	21/01/2013	4:01 PM	561.06	11.221	6.033	1.86	2.15	50.00	230	5.215	0.210
A3	administrator	21/01/2013	4:01 PM	566.87	11.337	6.099	1.86	2.15	50.00	230	5.270	0.105
A4	administrator	21/01/2013	4:02 PM	1828.04	36.561	17.856	2.05	2.14	50.00	230	17.116	0.407
A4	administrator	21/01/2013	4:02 PM	1829.35	36.587	17.911	2.04	2.14	50.00	230	17.090	0.397
A5	administrator	21/01/2013	4:03 PM	539.27	10.785	5.820	1.85	1.98	50.00	230	5.443	0.772
A5	administrator	21/01/2013	4:03 PM	511.92	10.238	5.343	1.92	2.20	50.00	230	4.646	0.165
A6	administrator	21/01/2013	4:04 PM	152.54	3.051	1.639	1.86	1.88	50.00	230	1.620	0.021
A6	administrator	21/01/2013	4:05 PM	147.27	2.945	1.617	1.82	1.84	50.00	230	1.603	0.018
A7	administrator	21/01/2013	4:05 PM	2977.80	59.556	37.023	1.61	1.59	50.00	230	37.366	7.284
A7	administrator	21/01/2013	4:06 PM	3154.37	63.087	38.790	1.63	1.60	50.00	230	39.482	8.326
A8	administrator	21/01/2013	4:07 PM	1.58	0.032	0.026	1.19	0.11	50.00	230	0.275	-0.009
A8	administrator	21/01/2013	4:07 PM	1.86	0.037	0.009	3.93	0.13	50.00	230	0.281	-0.006
B2	administrator	21/01/2013	4:08 PM	-2.40	-0.048	-0.045	1.06	6.95	50.00	230	-0.007	-0.417
B2	administrator	21/01/2013	4:09 PM	12.73	0.255	0.147	1.73	0.57	50.00	230	0.443	-0.005
B2	administrator	21/01/2013	4:09 PM	13.63	0.273	0.152	1.79	0.59	50.00	230	0.460	-0.009
B2	administrator	21/01/2013	4:09 PM	14.06	0.281	0.160	1.75	0.57	50.00	230	0.492	-0.006
B3	administrator	21/01/2013	4:10 PM	3302.01	66.040	32.399	2.04	2.05	50.00	230	32.196	10.914
B3	administrator	21/01/2013	4:10 PM	3373.11	67.462	32.769	2.06	2.24	50.00	230	30.142	1.629
B4	administrator	21/01/2013	4:11 PM	2468.19	49.364	24.367	2.03	2.11	50.00	230	23.414	1.696
B4	administrator	21/01/2013	4:12 PM	2471.98	49.440	24.341	2.03	2.13	50.00	230	23.262	0.696
B5	administrator	21/01/2013	4:13 PM	303.51	6.070	3.211	1.89	2.06	50.00	230	2.944	0.125
B5	administrator	21/01/2013	4:13 PM	310.78	6.216	3.253	1.91	2.07	50.00	230	3.000	0.116
B6	administrator	21/01/2013	4:14 PM	26.46	0.529	0.293	1.81	0.87	50.00	230	0.606	0.021
B6	administrator	21/01/2013	4:14 PM	27.17	0.543	0.296	1.83	0.87	50.00	230	0.625	0.032
B7	administrator	21/01/2013	4:15 PM	151.87	3.037	1.699	1.79	1.67	50.00	230	1.820	0.225
B7	administrator	21/01/2013	4:15 PM	153.79	3.076	1.742	1.77	1.66	50.00	230	1.855	0.194
B8	administrator	21/01/2013	4:16 PM	9.20	0.184	0.080	2.31	0.33	50.00	230	0.558	0.683
B8	administrator	21/01/2013	4:16 PM	4.57	0.091	0.059	1.56	0.26	50.00	230	0.358	-0.050
