StartTime,Chamber,Tray,Condtion
1135,5,5+6,0h
1140,5,7,0h
1150,2,6,0h
1155,2,5+7,0h
1203,4,5,0h
1205,4,6,0h
1210,4,7,0h
1217,5,12,0h
1223,5,13,0h
1229,5,14,0h
1235,2,12,0h
1237,2,13,0h
1242,2,14,0h
1255,4,12,0h
1258,4,13,0h
1300,4,14,0h
1252,5,5+6,1hHL (1h05)
1257,5,7,1hHL (1h10)
1305,2,5+7,1hHL (1h05)
1310,2,6,1hHL (1h10)
1318,4,6,1hHL (1h03)
1330,4,7,1hHL (1h15)
1423,5,14,1hHL (1h10)
1430,5,13,1hHL (1h15)
1440,5,12,1hHL (1h15)
1455,2,12,1hHL (1h0)
1500,2,13,1hHL (1h05)
1505,2,14,1hHL (1h10)
1517,4,12,1hHL (57m)
1520,4,13,1hHL (1h0)
1526,4,14,1hHL (1h06m)
